"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 03, 2018","108.35","109.75","109.75","108.45","0.00K","0.51%"
"Jul 02, 2018","107.80","108.45","109.10","107.65","0.13K","-3.32%"
"Jun 29, 2018","111.50","112.55","112.65","112.55","0.02K","-0.58%"
"Jun 28, 2018","112.15","112.00","112.00","112.00","0.02K","-1.88%"
"Jun 27, 2018","114.30","114.80","114.80","113.70","0.01K","-0.44%"
"Jun 26, 2018","114.80","114.55","115.80","114.05","0.03K","0.57%"
"Jun 25, 2018","114.15","113.75","114.35","113.50","0.04K","0.26%"
"Jun 22, 2018","113.85","113.75","114.15","113.40","0.04K","1.11%"
"Jun 21, 2018","112.60","113.75","113.75","112.00","0.32K","-0.92%"
"Jun 20, 2018","113.65","114.10","114.80","113.35","11.21K","-0.39%"
"Jun 19, 2018","114.10","114.30","114.35","112.65","13.00K","-0.31%"
"Jun 18, 2018","114.45","115.40","115.80","114.30","10.40K","-0.65%"
"Jun 15, 2018","115.20","115.65","115.65","114.60","17.16K","-0.43%"
"Jun 14, 2018","115.70","116.50","117.15","115.55","32.07K","-0.56%"
"Jun 13, 2018","116.35","117.20","117.25","116.20","28.77K","-0.85%"
"Jun 12, 2018","117.35","117.05","117.95","116.75","26.63K","0.21%"
"Jun 11, 2018","117.10","117.25","118.05","116.25","44.33K","-0.13%"
"Jun 08, 2018","117.25","116.05","117.45","115.65","41.92K","1.34%"
"Jun 07, 2018","115.70","118.25","118.65","115.65","48.60K","-2.16%"
"Jun 06, 2018","118.25","119.30","119.85","118.20","28.57K","-1.00%"
"Jun 05, 2018","119.45","121.15","121.55","119.15","33.65K","-1.69%"
"Jun 04, 2018","121.50","122.55","123.15","120.90","35.55K","-1.02%"